Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2007-08-27,1466.7900
2007-08-28,1432.3600
2007-08-29,1463.7600
2007-08-30,1457.6400
2007-08-31,1473.9900
2007-09-04,1489.4200
2007-09-05,1472.2900
2007-09-06,1478.5500
2007-09-07,1453.5500
2007-09-10,1451.7000
2007-09-11,1471.4900
2007-09-12,1471.5600
2007-09-13,1483.9500
2007-09-14,1484.2500
2007-09-17,1476.6500
2007-09-18,1519.7800
2007-09-19,1529.0300
2007-09-20,1518.7500
2007-09-21,1525.7500
2007-09-24,1517.7300
2007-09-25,1517.2100
2007-09-26,1525.4200
2007-09-27,1531.3800
2007-09-28,1526.7500
2007-10-01,1547.0400
2007-10-02,1546.6300
2007-10-03,1539.5900
2007-10-04,1542.8400
2007-10-05,1557.5900
2007-10-08,1552.5800
2007-10-09,1565.1500
2007-10-10,1562.4700
2007-10-11,1554.4100
2007-10-12,1561.8000
2007-10-15,1548.7100
2007-10-16,1538.5300
2007-10-17,1541.2400
2007-10-18,1540.0800
2007-10-19,1500.6300
2007-10-22,1506.3300
2007-10-23,1519.5900
2007-10-24,1515.8800
2007-10-25,1514.4000
2007-10-26,1535.2800
2007-10-29,1540.9800
2007-10-30,1531.0200
2007-10-31,1549.3800
2007-11-01,1508.4400
2007-11-02,1509.6500
2007-11-05,1502.1700
2007-11-06,1520.2700
2007-11-07,1475.6200
2007-11-08,1474.7700
2007-11-09,1453.7000
2007-11-12,1439.1800
2007-11-13,1481.0500
2007-11-14,1470.5800
2007-11-15,1451.1500
2007-11-16,1458.7400
2007-11-19,1433.2700
2007-11-20,1439.7000
2007-11-21,1416.7700
2007-11-23,1440.7000
2007-11-26,1407.2200
2007-11-27,1428.2300
2007-11-28,1469.0200
2007-11-29,1469.7200
2007-11-30,1481.1400
2007-12-03,1472.4200
2007-12-04,1462.7900
2007-12-05,1485.0100
2007-12-06,1507.3400
2007-12-07,1504.6600
2007-12-10,1515.9600
2007-12-11,1477.6500
2007-12-12,1486.5900
2007-12-13,1488.4100
2007-12-14,1467.9500
2007-12-17,1445.9000
2007-12-18,1454.9800
2007-12-19,1453.0000
2007-12-20,1460.1200
2007-12-21,1484.4600
2007-12-24,1496.4500
2007-12-26,1497.6600
2007-12-27,1476.2700
2007-12-28,1478.4900
2007-12-31,1468.3600
2008-01-02,1447.1600
2008-01-03,1447.1600
2008-01-04,1411.6300
2008-01-07,1416.1800
2008-01-08,1390.1900
2008-01-09,1409.1300
2008-01-10,1420.3300
2008-01-11,1401.0200
2008-01-14,1416.2500
2008-01-15,1380.9500
2008-01-16,1373.2000
2008-01-17,1333.2500
2008-01-18,1325.1900
2008-01-22,1310.5000
2008-01-23,1338.6000
2008-01-24,1352.0700
2008-01-25,1330.6100
2008-01-28,1353.9600
2008-01-29,1362.3000
2008-01-30,1355.8100
2008-01-31,1378.5500
2008-02-01,1395.4200
2008-02-04,1380.8200
2008-02-05,1336.6400
2008-02-06,1326.4500
2008-02-07,1336.9100
2008-02-08,1331.2900
2008-02-11,1339.1300
2008-02-12,1348.8600
2008-02-13,1367.2100
2008-02-14,1348.8600
2008-02-15,1349.9900
2008-02-19,1348.7800
2008-02-20,1360.0300
2008-02-21,1342.5300
2008-02-22,1353.1100
2008-02-25,1371.8000
2008-02-26,1381.2900
2008-02-27,1380.0200
2008-02-28,1367.6800
2008-02-29,1330.6300
2008-03-03,1331.3400
2008-03-04,1326.7500
2008-03-05,1333.7000
2008-03-06,1304.3400
2008-03-07,1293.3700
2008-03-10,1273.3700
2008-03-11,1320.6500
2008-03-12,1308.7700
2008-03-13,1315.4800
2008-03-14,1288.1400
2008-03-17,1276.6000
2008-03-18,1330.7400
2008-03-19,1298.4200
2008-03-20,1329.5100
2008-03-24,1349.8800
2008-03-25,1352.9900
2008-03-26,1341.1300
2008-03-27,1325.7600
2008-03-28,1315.2200
2008-03-31,1322.7000
2008-04-01,1370.1800
2008-04-02,1367.5300
2008-04-03,1369.3100
2008-04-04,1370.4000
2008-04-07,1372.5400
2008-04-08,1365.5400
2008-04-09,1354.4900
2008-04-10,1360.5500
2008-04-11,1332.8300
2008-04-14,1328.3200
2008-04-15,1334.4300
2008-04-16,1364.7100
2008-04-17,1365.5600
2008-04-18,1390.3300
2008-04-21,1388.1700
2008-04-22,1375.9400
2008-04-23,1379.9300
2008-04-24,1388.8200
2008-04-25,1397.8400
2008-04-28,1396.3700
2008-04-29,1390.9400
2008-04-30,1385.5900
2008-05-01,1409.3400
2008-05-02,1413.9000
2008-05-05,1407.4900
2008-05-06,1418.2600
2008-05-07,1392.5700
2008-05-08,1397.6800
2008-05-09,1388.2800
2008-05-12,1403.5800
2008-05-13,1403.0400
2008-05-14,1408.6600
2008-05-15,1423.5700
2008-05-16,1425.3500
2008-05-19,1426.6300
2008-05-20,1413.4000
2008-05-21,1390.7100
2008-05-22,1394.3500
2008-05-23,1375.9300
2008-05-27,1385.3500
2008-05-28,1390.8400
2008-05-29,1398.2600
2008-05-30,1400.3800
2008-06-02,1385.6700
2008-06-03,1377.6500
2008-06-04,1377.2000
2008-06-05,1404.0500
2008-06-06,1360.6800
2008-06-09,1361.7600
2008-06-10,1358.4400
2008-06-11,1335.4900
2008-06-12,1339.8700
2008-06-13,1360.0300
2008-06-16,1360.1400
2008-06-17,1350.9300
2008-06-18,1337.8100
2008-06-19,1342.8300
2008-06-20,1317.9300
2008-06-23,1318.0000
2008-06-24,1314.2900
2008-06-25,1321.9700
2008-06-26,1283.1500
2008-06-27,1278.3800
2008-06-30,1280.0000
2008-07-01,1284.9100
2008-07-02,1261.5200
2008-07-03,1262.9000
2008-07-07,1252.3100
2008-07-08,1273.7000
2008-07-09,1244.6900
2008-07-10,1253.3900
2008-07-11,1239.4900
2008-07-14,1228.3000
2008-07-15,1214.9100
2008-07-16,1245.3600
2008-07-17,1260.3200
2008-07-18,1260.6800
2008-07-21,1260.0000
2008-07-22,1277.0000
2008-07-23,1282.1900
2008-07-24,1252.5400
2008-07-25,1257.7600
2008-07-28,1234.3700
2008-07-29,1263.2000
2008-07-30,1284.2600
2008-07-31,1267.3800
2008-08-01,1260.3100
2008-08-04,1249.0100
2008-08-05,1284.8800
2008-08-06,1289.1900
2008-08-07,1266.0700
2008-08-08,1296.3200
2008-08-11,1305.3200
2008-08-12,1289.5900
2008-08-13,1285.8300
2008-08-14,1292.9300
2008-08-15,1298.2000
2008-08-18,1278.6000
2008-08-19,1266.6900
2008-08-20,1274.5400
2008-08-21,1277.7200
2008-08-22,1292.2000
2008-08-25,1266.8400
2008-08-26,1271.5100
2008-08-27,1281.6600
2008-08-28,1300.6800
2008-08-29,1282.8300
2008-09-02,1277.5800
2008-09-03,1274.9800
2008-09-04,1236.8300
2008-09-05,1242.3100
2008-09-08,1267.7900
2008-09-09,1224.5100
2008-09-10,1232.0400
2008-09-11,1249.0500
2008-09-12,1251.7000
2008-09-15,1192.7000
2008-09-16,1213.6000
2008-09-17,1156.3900
2008-09-18,1206.5100
2008-09-19,1255.0800
2008-09-22,1207.0900
2008-09-23,1188.2200
2008-09-24,1185.8700
2008-09-25,1209.1800
