Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2010-08-25,1237.5000
2010-08-26,1240.2500
2010-08-27,1234.5000
2010-08-31,1233.5000
2010-09-01,1250.0000
2010-09-02,1247.7500
2010-09-03,1252.0000
2010-09-06,1249.5000
2010-09-07,1247.2500
2010-09-08,1258.0000
2010-09-09,1253.5000
2010-09-10,1248.7500
2010-09-13,1243.0000
2010-09-14,1253.2500
2010-09-15,1270.4000
2010-09-16,1271.2500
2010-09-17,1281.5000
2010-09-20,1280.2500
2010-09-21,1278.7500
2010-09-22,1291.7500
2010-09-23,1291.5000
2010-09-24,1298.0000
2010-09-27,1298.2500
2010-09-28,1289.0000
2010-09-29,1307.5000
2010-09-30,1311.0000
2010-10-01,1313.0000
2010-10-04,1316.0000
2010-10-05,1325.7500
2010-10-06,1347.0000
2010-10-07,1359.5000
2010-10-08,1330.5000
2010-10-11,1348.5000
2010-10-12,1343.5000
2010-10-13,1358.5000
2010-10-14,1380.7500
2010-10-15,1377.2500
2010-10-18,1359.7500
2010-10-19,1367.7500
2010-10-20,1340.5000
2010-10-21,1345.2500
2010-10-22,1319.0000
2010-10-25,1345.0000
2010-10-26,1334.0000
2010-10-27,1332.2500
2010-10-28,1326.5000
2010-10-29,1336.7500
2010-11-01,1361.5000
2010-11-02,1358.0000
2010-11-03,1358.5000
2010-11-04,1361.0000
2010-11-05,1384.2500
2010-11-08,1390.0000
2010-11-09,1416.2500
2010-11-10,1402.0000
2010-11-11,1413.0000
2010-11-12,1387.0000
2010-11-15,1367.0000
2010-11-16,1363.2500
2010-11-17,1336.5000
2010-11-18,1356.7500
2010-11-19,1357.5000
2010-11-22,1357.5000
2010-11-23,1361.0000
2010-11-24,1376.2500
2010-11-25,1370.5000
2010-11-26,1366.5000
2010-11-29,1360.0000
2010-11-30,1375.0000
2010-12-01,1391.5000
2010-12-02,1390.0000
2010-12-03,1391.7500
2010-12-06,1411.5000
2010-12-07,1426.0000
2010-12-08,1395.0000
2010-12-09,1382.0000
2010-12-10,1390.0000
2010-12-13,1388.2500
2010-12-14,1405.0000
2010-12-15,1388.2500
2010-12-16,1384.0000
2010-12-17,1374.7500
2010-12-20,1381.0000
2010-12-21,1386.0000
2010-12-22,1389.0000
2010-12-23,1384.0000
2010-12-24,1380.5000
2010-12-29,1403.5000
2010-12-30,1411.5000
2010-12-31,1410.2500
2011-01-04,1405.5000
2011-01-05,1382.7500
2011-01-06,1376.0000
2011-01-07,1358.0000
2011-01-10,1368.2500
2011-01-11,1381.0000
2011-01-12,1383.5000
2011-01-13,1380.7500
2011-01-14,1369.2500
2011-01-17,1357.5000
2011-01-18,1368.7500
2011-01-19,1373.7500
2011-01-20,1364.5000
2011-01-21,1344.0000
2011-01-24,1347.5000
2011-01-25,1326.0000
2011-01-26,1335.5000
2011-01-27,1337.5000
2011-01-28,1316.0000
2011-01-31,1333.5000
2011-02-01,1337.5000
2011-02-02,1337.0000
