"MacroTrends Data Download"
"GOLD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1985-02-04,1.9985,2.1025,1.9985,1.9985,50400
1985-02-05,1.9985,2.2065,1.9985,1.9985,18400
1985-02-06,2.1025,2.3648,2.1025,2.1025,65600
1985-02-07,2.1025,2.2065,2.1025,2.1025,40000
1985-02-08,2.1025,2.2065,2.1025,2.1025,25600
1985-02-11,2.1025,2.3648,2.1025,2.1025,29600
1985-02-12,2.1025,2.2065,2.1025,2.1025,34400
1985-02-13,2.1025,2.2065,2.1025,2.1025,20000
1985-02-14,2.2065,2.3648,2.2065,2.2065,65600
1985-02-15,2.2065,2.3150,2.1568,2.1568,31200
1985-02-19,2.1568,2.2065,2.1568,2.1568,8800
1985-02-20,2.1568,2.1568,2.1025,2.1025,40000
1985-02-21,2.1025,2.1568,2.1025,2.1025,28800
1985-02-22,2.1025,2.1025,1.9985,1.9985,65600
1985-02-25,1.9985,2.0483,1.9985,1.9985,53600
1985-02-26,1.9985,2.1025,1.9985,1.9985,28800
1985-02-27,1.9985,2.0483,1.9985,1.9985,15200
1985-02-28,1.9985,2.1025,1.9985,1.9985,34400
1985-03-01,1.9985,2.1025,1.9985,1.9985,64000
1985-03-04,2.0483,2.1025,2.0483,2.0483,8000
1985-03-05,2.0483,2.0483,1.9985,1.9985,19200
1985-03-06,1.9985,2.0483,1.9985,1.9985,71200
1985-03-07,1.9985,2.0483,1.9985,1.9985,50400
1985-03-08,1.9985,1.9985,1.7860,1.7860,252000
1985-03-11,1.7860,1.9985,1.7860,1.7860,55200
1985-03-12,1.9443,1.9985,1.9443,1.9443,87200
1985-03-13,1.9985,2.0483,1.9985,1.9985,16800
1985-03-14,1.9985,2.1025,1.9985,1.9985,8000
1985-03-15,1.9985,2.1025,1.9985,1.9985,8800
1985-03-18,2.1025,2.2065,2.1025,2.1025,59200
1985-03-19,2.3150,2.4733,2.3150,2.3150,150400
1985-03-20,2.3150,2.3648,2.1568,2.1568,59200
1985-03-21,2.2065,2.3648,2.2065,2.2065,47200
1985-03-22,2.3150,2.3648,2.3150,2.3150,25600
1985-03-25,2.3150,2.3150,2.1568,2.1568,48000
1985-03-26,2.1568,2.3150,2.1568,2.1568,25600
1985-03-27,2.1568,2.3150,2.1568,2.1568,8000
1985-03-28,2.1568,2.3150,2.1568,2.1568,46400
1985-03-29,2.1568,2.3150,2.1568,2.1568,19200
1985-04-01,2.2065,2.3150,2.2065,2.2065,54400
1985-04-02,2.2065,2.2065,2.1568,2.1568,76000
1985-04-03,2.1568,2.2065,2.1568,2.1568,13600
1985-04-04,2.1568,2.1568,2.1025,2.1025,76000
1985-04-08,2.1025,2.1568,2.1025,2.1025,19200
1985-04-09,2.1025,2.1025,1.9985,1.9985,19200
1985-04-10,1.9985,2.1025,1.9985,1.9985,13600
1985-04-11,1.9985,2.1025,1.9985,1.9985,31200
1985-04-12,1.9985,2.0483,1.9985,1.9985,28000
1985-04-15,1.9985,2.0483,1.9985,1.9985,41600
1985-04-16,2.1025,2.1025,2.1025,2.1025,16800
1985-04-17,2.1025,2.1025,2.1025,2.1025,41600
1985-04-18,2.1025,2.1025,2.1025,2.1025,3200
1985-04-19,2.1025,2.3648,2.1025,2.3648,8000
1985-04-22,2.1025,2.1025,2.1025,2.1025,51200
1985-04-23,2.1025,2.2065,2.1025,2.1025,37600
1985-04-24,2.1025,2.1025,2.1025,2.1025,24000
1985-04-25,2.1025,2.1025,2.1025,2.1025,73600
1985-04-26,2.1025,2.1025,1.9985,1.9985,9600
1985-04-29,2.2065,2.2065,2.2065,2.2065,420000
1985-04-30,2.2065,2.2065,2.2065,2.2065,28000
1985-05-01,2.1025,2.1025,2.1025,2.1025,12800
1985-05-02,2.1025,2.1025,2.1025,2.1025,12000
1985-05-03,2.1025,2.1025,2.1025,2.1025,39200
1985-05-06,2.1025,2.1025,1.9985,1.9985,79200
1985-05-07,2.1025,2.1025,2.1025,2.1025,12800
1985-05-08,2.1025,2.1025,1.9985,1.9985,18400
1985-05-09,2.1025,2.1025,2.1025,2.1025,102400
1985-05-10,2.1025,2.1025,1.9985,2.1025,69600
1985-05-13,2.1025,2.1025,2.1025,2.1025,20000
1985-05-14,2.1025,2.2065,2.1025,2.1025,294400
1985-05-15,2.1025,2.2065,2.1025,2.1025,22400
1985-05-16,2.2065,2.2065,2.2065,2.2065,36800
1985-05-17,2.2065,2.2065,2.2065,2.2065,52000
1985-05-20,2.2065,2.3648,2.2065,2.2065,58400
1985-05-21,2.2065,2.3648,2.2065,2.2065,136000
1985-05-22,2.2065,2.3648,2.2065,2.2065,20000
1985-05-23,2.2065,2.2065,2.1025,2.1025,20800
1985-05-24,2.2065,2.2065,2.2065,2.2065,81600
1985-05-28,2.2065,2.2065,2.1025,2.1025,16800
1985-05-29,2.2065,2.2065,2.2065,2.2065,5600
1985-05-30,2.1025,2.1025,2.1025,2.1025,2400
1985-05-31,2.1025,2.2065,2.1025,2.1025,192800
1985-06-03,2.1025,2.2065,2.1025,2.1025,34400
1985-06-04,2.1025,2.2065,2.1025,2.1025,54400
1985-06-05,2.1025,2.1025,2.1025,2.1025,11200
1985-06-06,2.1025,2.2065,2.1025,2.1025,16800
1985-06-07,2.2065,2.2065,2.2065,2.2065,44800
1985-06-10,2.2065,2.2065,2.2065,2.2065,33600
1985-06-11,2.2065,2.2065,2.1025,2.1025,136800
1985-06-12,2.1025,2.1025,2.1025,2.1025,73600
1985-06-13,2.1025,2.1025,2.1025,2.1025,45600
1985-06-14,2.1025,2.1025,2.1025,2.1025,66400
1985-06-17,2.2065,2.2065,2.2065,2.2065,95200
1985-06-18,2.2065,2.3648,2.2065,2.2065,39200
1985-06-19,2.2065,2.2065,2.1025,2.1025,30400
1985-06-20,2.1025,2.1025,2.1025,2.1025,50400
1985-06-21,2.1025,2.1025,1.9985,1.9985,52800
1985-06-24,1.9985,2.1025,1.9985,1.9985,9600
1985-06-25,1.9985,2.1025,1.9985,1.9985,5600
1985-06-26,2.1025,2.1025,2.1025,2.1025,18400
1985-06-27,2.1025,2.1025,2.1025,2.1025,36800
1985-06-28,2.1025,2.1025,2.1025,2.1025,76000
1985-07-01,2.1025,2.1025,1.9985,1.9985,24000
1985-07-02,2.1025,2.1025,2.1025,2.1025,19200
1985-07-03,2.1025,2.1025,2.1025,2.1025,20800
1985-07-05,2.1025,2.1025,2.1025,2.1025,11200
1985-07-08,2.1025,2.1025,2.1025,2.1025,21600
1985-07-09,2.2065,2.2065,2.2065,2.2065,87200
1985-07-10,2.3648,2.3648,2.3648,2.3648,41600
1985-07-11,2.3648,2.3648,2.2065,2.2065,81600
1985-07-12,2.3648,2.5230,2.3648,2.3648,39200
1985-07-15,2.3648,2.5230,2.3648,2.3648,66400
1985-07-16,2.5230,2.5230,2.5230,2.5230,51200
1985-07-17,2.5230,2.6270,2.5230,2.5230,204000
1985-07-18,2.5230,2.6270,2.3648,2.3648,32800
1985-07-19,2.6270,2.6270,2.6270,2.6270,79200
1985-07-22,2.6270,2.6270,2.6270,2.6270,63200
1985-07-23,2.6270,2.6270,2.5230,2.5230,34400
1985-07-24,2.5230,2.6270,2.5230,2.5230,12000
1985-07-25,2.5230,2.5230,2.5230,2.5230,25600
1985-07-26,2.5230,2.5230,2.5230,2.5230,36800
1985-07-29,2.5230,2.5230,2.5230,2.5230,69600
1985-07-30,2.5230,2.5230,2.5230,2.5230,31200
1985-07-31,2.6270,2.6270,2.6270,2.6270,32800
1985-08-01,2.8938,2.8938,2.8938,2.8938,275200
1985-08-02,2.7853,2.7853,2.7853,2.7853,76800
1985-08-05,2.7853,2.7853,2.7853,2.7853,29600
1985-08-06,2.7853,2.7853,2.6270,2.6270,49600
1985-08-07,2.6270,2.7853,2.6270,2.6270,128000
1985-08-08,2.6270,2.6270,2.6270,2.6270,44000
1985-08-09,2.6270,2.6270,2.6270,2.6270,21600
1985-08-12,2.7853,2.7853,2.7853,2.7853,100000
1985-08-13,2.7853,2.7853,2.7853,2.7853,37600
1985-08-14,2.7853,2.7853,2.7853,2.7853,30400
1985-08-15,2.9978,2.9978,2.9978,2.9978,364800
1985-08-16,3.1560,3.3640,3.1560,3.1560,358400
1985-08-19,3.1560,3.3143,3.1560,3.1560,271200
1985-08-20,3.1560,3.1560,2.9978,2.9978,240000
1985-08-21,2.9978,2.9978,2.9978,2.9978,124800
1985-08-22,2.9978,2.9978,2.9978,2.9978,91200
1985-08-23,2.9978,2.9978,2.9978,2.9978,34400
1985-08-26,2.9978,2.9978,2.8938,2.8938,32800
1985-08-27,2.9978,2.9978,2.9978,2.9978,70400
1985-08-28,2.9978,3.1560,2.9978,2.9978,42400
1985-08-29,2.9978,2.9978,2.9978,2.9978,285600
1985-08-30,2.9978,2.9978,2.9978,2.9978,81600
1985-09-03,2.9978,2.9978,2.8938,2.8938,77600
1985-09-04,2.8938,2.8938,2.8938,2.8938,2400
1985-09-05,2.8938,2.8938,2.7853,2.7853,32000
1985-09-06,2.7853,2.7853,2.7853,2.7853,152000
1985-09-09,2.7853,2.7853,2.7853,2.7853,23200
1985-09-10,2.7853,2.9978,2.7853,2.7853,136000
1985-09-11,2.7853,2.8938,2.7853,2.7853,54400
1985-09-12,2.7853,2.8938,2.7853,2.7853,81600
1985-09-13,2.7853,2.7853,2.7853,2.7853,280000
